"","year_month","country_name","volume_sum","value_sum","refusal_count","USDA_dummy","year","month","USDAxVolume"
"183",Dec 2014,"GUYANA",443,3045,1,0,2014,12,0
"184",Dec 2014,"VIETNAM",9960019,31292645,33,0,2014,12,0
"185",Jan 2015,"BRAZIL",6480,27865,7,0,2015,1,0
"186",Jan 2015,"BURMA",16979,54474,NA,0,2015,1,0
"187",Jan 2015,"CHINA",1380017,7970351,168,0,2015,1,0
"188",Jan 2015,"ICELAND",271,2661,NA,0,2015,1,0
"189",Jan 2015,"VENEZUELA",1313,2626,NA,0,2015,1,0
"190",Jan 2015,"VIETNAM",9990439,32074039,38,0,2015,1,0
"191",Feb 2015,"BURMA",17018,54600,NA,0,2015,2,0
"192",Feb 2015,"CHINA",819746,4722779,192,0,2015,2,0
"193",Feb 2015,"GUYANA",8966,17753,NA,0,2015,2,0
"194",Feb 2015,"MEXICO",448,2579,93,0,2015,2,0
"195",Feb 2015,"THAILAND",800,3617,42,0,2015,2,0
"196",Feb 2015,"VIETNAM",8845860,28258645,25,0,2015,2,0
"197",Mar 2015,"CHINA",764330,4697073,245,0,2015,3,0
"198",Mar 2015,"MEXICO",1961,11286,97,0,2015,3,0
"199",Mar 2015,"PHILIPPINES",11467,56850,16,0,2015,3,0
"200",Mar 2015,"VIETNAM",8121148,26140266,28,0,2015,3,0
"201",Apr 2015,"BURMA",15940,50400,NA,0,2015,4,0
"202",Apr 2015,"CHINA",284897,1832567,201,0,2015,4,0
"203",Apr 2015,"VIETNAM",9288858,29490149,15,0,2015,4,0
"204",May 2015,"BANGLADESH",2532,18761,5,0,2015,5,0
"205",May 2015,"BRAZIL",1624,6031,6,0,2015,5,0
"206",May 2015,"BURMA",5179,39685,NA,0,2015,5,0
"207",May 2015,"CHINA",215957,1415825,223,0,2015,5,0
"208",May 2015,"THAILAND",1200,5472,19,0,2015,5,0
"209",May 2015,"VIETNAM",8927783,27597891,23,0,2015,5,0
"210",Jun 2015,"BRAZIL",500,2420,26,0,2015,6,0
"211",Jun 2015,"BURMA",17018,54600,NA,0,2015,6,0
"212",Jun 2015,"CHINA",176221,1067008,200,0,2015,6,0
