MFG_FIRM_FEI_NUM,LGL_NAME,LINE1_ADRS,LINE2_ADRS,CITY_NAME,PROVINCE_STATE,ISO_CNTRY_CODE,PRODUCT_CODE,REFUSAL_DATE,DISTRICT,ENTRY_NUM,RFRNC_DOC_ID,LINE_NUM,LINE_SFX_ID,FDA_SAMPLE_ANALYSIS,PRIVATE_LAB_ANALYSIS,REFUSAL_CHARGES,PRDCT_CODE_DESC_TEXT,ITACS_Product,ITACS_Quantity,Unit,Subunit,Per_LB,Per_KG,Total_LB,Total_KG,Weight_Refused_KG
3012353433,Niaf International Enterprises,2/2- B 2nd Floor Bijoynagar,Lane Purana Paltan,Dhaka,,BD,16XYH02,4-Apr-14,CIN-DO,AEK-1289444-6,1,1,,No,No,"2000, 256, 249","CATFISH, AQUACULTURE, FRESH WATER",DRIED SEAFOOD,Total: 23.0 Kilograms (23.0 Kilograms),,,,23,,23,23
3010264647,Alpine Commodities Ltd,Murtala Muhammed Way,,Iddo,,NG,16IFH67,13-Nov-15,NYK-DO,AR8-2014602-5,1,1,H,No,No,"321, 328, 320, 218","CATFISH, SALT WATER, HOT SMOKED, FISH",Dried Fish Catfish,"Total: 1.0 Carton (1.0 Carton, 15.0 Pounds (avdp))",1,,15,,15,,7
3006454956,"Jiangsu HaiTian Sea-Beach Aquatic Foods Co., Ltd.",Qianjinlu,Dongtaichina.,Yancheng,Jiangsu,CN,16AGD10,4-Aug-14,LOS-DO,BDD-0671294-3,1,1,,No,No,2860,"CATFISH, FRESHWATER (E.G. CHANNEL, BLUE, WHITE, YAQUI, BULLHEAD, FLATHEAD CATFISH)",IQF FARM RAISED CATFISH FILLETS,"Total: 3000.0 Carton (3000.0 Carton, 15.0 Pounds (avdp))",3000,,15,,45000,,20408
3013430840,"ANHUI LIGHT INDUSTRIES INTERNATIONAL CO.,LTD",Alic Centre,08 Tianda Road; Shushan,Hefei,Anhui,CN,16AGD10,13-Nov-15,LOS-DO,BDD-0672978-0,1,1,,Yes,Yes,"2960, 2860","CATFISH, FRESHWATER (E.G. CHANNEL, BLUE, WHITE, YAQUI, BULLHEAD, FLATHEAD CATFISH)","FROZEN CATFISH FILLET, CHANNEL CATFISH (ICTALURUS PUNCTATUS) 3-5OZ","Total: 2690.0 Carton (2690.0 Carton, 15.0 Pounds (avdp))",2690,,15,,40350,,18299
3010615231,NASEM PRODUCT LTD,Muus H/No.185/T Taifa Junction Nsawam Rd,,Accra,GH-AA,GH,16AGH10,14-May-14,SWI-DO,BNI-0039335-3,1,1,,No,No,308,"CATFISH, FRESHWATER (E.G. CHANNEL, BLUE, WHITE, YAQUI, BULLHEAD, FLATHEAD CATFISH)",SMOKED FISH,"Total: 46.0 Case (46.0 Case, 10.0 Kilograms)",46,,,10,,460,460
3008836125,Chams Nig Ltd,33 Akekele Rd,,Lagos,Lagos,NG,16IFT67,27-Jul-15,DNEI,BNI-0045857-8,1,1,A,Yes,No,308,"CATFISH, SALT WATER, HOT SMOKED, FISH",,,,,,,,,
3010115202,CHRISTIAN AMEYAW,happy kids avenue hse no BA536/20,,Kwashinaiyiri,GH-AA,GH,16IFT10,28-Aug-15,DNEI,BNI-0046414-7,2,1,,Yes,No,2960,"CATFISH, FRESHWATER, HOT SMOKED (E.G. CHANNEL, BLUE, WHITE, YAQUI, BULLHEAD, FLATHEAD CATFISH)",SMOKED FISH,"Total: 70.0 Case (70.0 Case, 12.0 Kilograms)",70,,,12,,840,840
3010135808,Anointed Foods Ltd,C28 Cantome,,Accra,,GH,16IFT10,17-Dec-15,DNEI,BNI-0048811-2,1,1,A,Yes,No,3821,"CATFISH, FRESHWATER, HOT SMOKED (E.G. CHANNEL, BLUE, WHITE, YAQUI, BULLHEAD, FLATHEAD CATFISH)",Smoked Herring,"Total: 24.0 Kilograms (2.0 Box, 12.0 Kilograms)",,,,24,,24,24
3010135808,Anointed Foods Ltd,C28 Cantome,,Accra,,GH,16IFT10,17-Dec-15,DNEI,BNI-0048811-2,1,1,B,Yes,No,3821,"CATFISH, FRESHWATER, HOT SMOKED (E.G. CHANNEL, BLUE, WHITE, YAQUI, BULLHEAD, FLATHEAD CATFISH)",Smoked Akwabi,"Total: 120.0 Kilograms (10.0 Box, 12.0 Kilograms)",,,,120,,120,120
3010488013,Abednego Ziorklui,7 Kwabeyna Link Str Kotobabi,,Accra,,GH,16IFH67,6-Dec-16,NYK-DO,BNI-0050663-2,1,2,,No,No,249,"CATFISH, SALT WATER, HOT SMOKED, FISH",SMOKED CATFISH,"Total: 19.0 Box (19.0 Box, 50.0 Pounds (avdp))",19,,50,,950,,431
3011517495,Alfa Eteks,138 Chigirinskaya St,,Cherkassy,,UA,16AEE10,20-May-16,DNEI,BQL-0045751-3,4,1,,Yes,No,"83, 62","CATFISH, FRESHWATER (E.G. CHANNEL, BLUE, WHITE, YAQUI, BULLHEAD, FLATHEAD CATFISH)",BULLHEAD IN TOMATO SAUCE,"Total: 112.0 Carton (112.0 Carton, 48.0 Package, 240.0 Grams)",112,48,,0.24,,1290.24,1290
3006454956,"Jiangsu HaiTian Sea-Beach Aquatic Foods Co., Ltd.",Qianjinlu,Dongtaichina.,Yancheng,Jiangsu,CN,16XGD02,3-Jun-15,NOL-DO,CEQ-0001510-5,1,2,,Yes,No,2860,"CATFISH, AQUACULTURE, FRESH WATER","CHANNEL CATFISH FILLET, FROZEN 5/7OZ","Total: 1160.0 Case (1160.0 Case, 15.0 Pounds (avdp))",1160,,15,,17400,,7891
3010508040,Changyang Qingiang Pengbo,NO. 168 Changyang Avenue,,Yichang,Hubei,CN,16AGD10,28-Feb-14,ATL-DO,DK3-0756640-8,1,1,,No,Yes,"2860, 238","CATFISH, FRESHWATER (E.G. CHANNEL, BLUE, WHITE, YAQUI, BULLHEAD, FLATHEAD CATFISH)",FROZEN CATFISH FILLETS,"Total: 2400.0 Case (2400.0 Case, 36000.0 Pounds (avdp))",2400,,36000,,86400000,,39183673
3010508040,Changyang Qingiang Pengbo,NO. 168 Changyang Avenue,,Yichang,Hubei,CN,16AGD10,15-Apr-14,DSEI,DK3-0756642-4,1,1,,No,Yes,2860,"CATFISH, FRESHWATER (E.G. CHANNEL, BLUE, WHITE, YAQUI, BULLHEAD, FLATHEAD CATFISH)",FROZEN CATFISH FILLETS,"Total: 2400.0 Case (2400.0 Case, 36000.0 Pounds (avdp))",2400,,36000,,86400000,,39183673
3010508040,Changyang Qingiang Pengbo,NO. 168 Changyang Avenue,,Yichang,Hubei,CN,16AGD10,15-Apr-14,DSEI,DK3-0756643-2,1,1,,No,Yes,2860,"CATFISH, FRESHWATER (E.G. CHANNEL, BLUE, WHITE, YAQUI, BULLHEAD, FLATHEAD CATFISH)",FROZEN CATFISH FILLETS,"Total: 2400.0 Case (2400.0 Case, 36000.0 Pounds (avdp))",2400,,36000,,86400000,,39183673
3010508040,Changyang Qingiang Pengbo,NO. 168 Changyang Avenue,,Yichang,Hubei,CN,16AGD10,28-Feb-14,ATL-DO,DK3-0756644-0,1,1,,No,Yes,"238, 2860","CATFISH, FRESHWATER (E.G. CHANNEL, BLUE, WHITE, YAQUI, BULLHEAD, FLATHEAD CATFISH)",FROZEN CATFISH FILLETS,"Total: 2400.0 Case (2400.0 Case, 36000.0 Pounds (avdp))",2400,,36000,,86400000,,39183673
3010508040,Changyang Qingiang Pengbo,NO. 168 Changyang Avenue,,Yichang,Hubei,CN,16AGD10,28-Feb-14,ATL-DO,DK3-0756645-7,1,1,,No,Yes,"238, 2860","CATFISH, FRESHWATER (E.G. CHANNEL, BLUE, WHITE, YAQUI, BULLHEAD, FLATHEAD CATFISH)",FROZEN CATFISH FILLETS,"Total: 2400.0 Case (2400.0 Case, 36000.0 Pounds (avdp))",2400,,36000,,86400000,,39183673
